,date_commenced,claim,verdict
0,2004-09-30,respond george w bush president,0
1,2008-09-26,number three got make sure none money going pad ceo bank account promote golden parachute barack obama senator,0
2,1984-10-07,figure show million people poverty line year ago walter mondale former vice president,1
3,1992-10-11,never would got gone nuclear freeze crowd never would got listened wanted cut defense spending george bush president,0
4,1976-10-06,monday week signed tax bill included amendment would prevent company united state taking tax deduction way whatsoever cooperated arab boycott gerald r ford president,1
5,1976-10-06,worst inflation since great depression jimmy carter governor,1
6,1992-10-15,spend income nation earth health care yet insure fewer people bill clinton governor,1
7,2016-09-26,need comprehensive background check need keep gun hand harm hillary clinton secretary,0
8,1996-10-16,said tonight opportunity responsibility community bill clinton president,0
9,1996-10-06,president called unconditional end violence bob dole senator,1
10,1980-10-28,five year plan leasing offshore land proposed land drilled opened drilling since program first started jimmy carter president,1
11,2000-10-11,think issue need take seriously george w bush governor,0
12,1996-10-06,example reduced size federal government smallest size year bill clinton president,1
13,1992-10-15,go back washington difficult get congress george bush president,0
14,1976-09-23,well one serious thing happened government recent year continued breakdown trust among people twenty seven minute delay jimmy carter governor,0
15,2016-10-09,seen insult woman hillary clinton secretary state,1
16,1960-09-26,run minimum thirteen two tenth billion dollar year presently spending maximum eighteen billion dollar year presently spending richard nixon vice president,1
17,2004-10-08,one thing done taken beginning transform military george w bush president,1
18,1980-09-21,problem government federal state local taking every dollar earned federal government pre empted many tax source city ronald reagan governor,1
19,1960-09-26,mean average family income went fifteen per cent eisenhower year two per cent truman year richard nixon vice president,1
20,1976-09-23,would endorse kind program uh governor carter recommends gerald r ford president,0
21,1980-10-28,produce coal year year history jimmy carter president,1
22,2012-10-03,support change current retiree near retiree medicare mitt romney governor,0
23,2000-10-03,senior would get help whatsoever opponent plan first four five year al gore vice president,1
24,2000-10-11,think fundamental difference al gore vice president,0
25,1996-10-16,l crisis anymore bob dole senator,1
26,2000-10-11,therefore term honest broker make sense george w bush governor,0
27,2000-10-17,opportunity opportunity use research development capacity great technology united state make military lighter harder find lethal george w bush governor,1
28,1960-09-26,find price pay went five time much truman administration eisenhower administration richard nixon vice president,1
29,1996-10-16,honor duty country america bob dole senator,0
30,1984-10-07,would father mother feel proud loaded child debt like nation trillion dollar shoulder child walter mondale former vice president,1
31,2004-10-08,told got report said past month created million new job george w bush president,1
32,2000-10-11,may different approach term deal local folk george w bush governor,0
33,1992-10-19,getting ready dismantle airline industry country none know ross perot independent candidate,1
34,1992-10-15,community real success putting police officer near school kid carry weapon get weapon school block seen crime go bill clinton governor,1
35,2008-09-26,end losing health care employer got go open market try buy barack obama senator,0
36,1976-10-06,taken initiative southern africa today united state trusted black front line nation black africa gerald r ford president,1
37,2004-09-30,former secretary state jim baker general scowcroft others pushed publicly said got go u n president finally changed mind campaign word went united nation john kerry senator,1
38,1960-10-13,senator kennedy position mine completely different richard nixon vice president,0
39,2000-10-17,happy tell al gore vice president,0
40,1984-10-07,question think enlarged ronald reagan president,0
41,1988-10-13,state michael dukakis governor,1
42,1960-10-13,answer course communist espionage go time richard nixon vice president,0
43,1988-10-13,supported national governor conference supported breaking tie major compromise package got assailed democrat election george bush vice president,1
44,2000-10-11,gas clean fuel burn need make sure decontrol plant mandatory plant must conform clean air standard grandfathered plant texas george w bush governor,1
45,2000-10-11,water cleaner george w bush governor,1
46,2012-10-16,succeed believe country succeeds barack obama president,0
47,1988-10-13,three time since world war ii vice president suddenly become president commander chief michael dukakis governor,1
48,2016-10-09,last time first debate million people fact checking expect million fact checking know awfully good someone temperament donald trump charge law country hillary clinton secretary state,1
49,1960-10-13,temper one sure senator kennedy one richard nixon vice president,0
50,2000-10-03,trouble meeting recruiting goal george w bush governor,0
51,2008-10-07,nobody called invasion pakistan barack obama senator,0
52,2016-10-19,take look iraq donald trump businessman,0
53,2004-09-30,long president bush get tax cut get long going invest homeland security going make sure cutting cop program america fully staffed firehouse protect nuclear chemical plant john kerry senator,1
54,2004-10-08,secondly allow small business pool together share risk buy insurance discount big business get george w bush president,0
55,2008-10-15,ten year ago served served school reform board funded one ronald reagan former ambassador close friend mr annenberg barack obama senator,1
56,1996-10-06,stop scaring senior mr president bob dole senator,0
57,1960-10-13,war came power richard nixon vice president,1
58,1980-10-28,talking much think working people forth fellow ever ran job six time president union still lifetime membership union ronald reagan governor,1
59,1976-09-23,thing done deferral system multinational corporation invest overseas make million dollar profit overseas pay tax unless bring money back country jimmy carter governor,1
60,1976-10-22,time uh percent reagan supporter said would support president ford jimmy carter governor,1
61,2016-10-19,frankly story largely debunked donald trump businessman,1
62,2000-10-17,trillion dollar promised young people also promised older people al gore vice president,1
63,1960-09-26,uh made recommendation trip example trip abroad hungary made recommendation regard hungarian refugee situation adopted president enacted law congress richard nixon vice president,1
64,2008-09-26,even get billion back let assume market recover holding asset long enough eventually taxpayer get back happened great depression roosevelt purchased whole bunch home time home value went back fact government made profit barack obama senator,1
65,1976-09-23,time assuming sign tax bill mentioned mr gannon last two tax bill increased minimum tax wealthy taxpayer gerald r ford president,1
66,1992-10-19,thing race tap american people shoulder say every single one fix still relatively strong ross perot independent candidate,0
67,2008-10-15,wind tide solar natural gas nuclear shore drilling senator obama opposed john mccain senator,1
68,2016-09-26,gun epidemic leading cause death young african american men next nine cause put together hillary clinton secretary,1
69,2012-10-22,america going kind leadership continue promote principle peace make world safer place make people country confident future secure mitt romney governor,0
70,1988-09-25,let lay strategy bring deficit chief executive balanced ten budget row make tough decision tough choice michael dukakis governor,1
71,2004-10-08,judicial intervention could go somewhere get help voted john kerry senator,1
72,2000-10-17,said extent spend federal money disadvantaged child want school show u whether child learning george w bush governor,1
73,2008-10-07,got provide moral support pole estonia latvia nation former soviet satellite barack obama senator,0
74,1996-10-06,know know know want take america bob dole senator,0
75,2016-10-09,take look mosul donald trump businessman,0
76,2016-09-26,donald never tell would hillary clinton secretary,0
77,2000-10-03,man outspent special interest outspending george w bush governor,1
78,2016-10-19,china growing percent donald trump businessman,1
79,1992-10-19,well awful easy dealing hindsight george bush president,0
80,2000-10-03,plan short term component also long term component al gore vice president,1
81,2008-10-15,history colombia right labor leader targeted assassination fairly consistent basis prosecution barack obama senator,1
