,date_commenced,claim,verdict
0,1984-10-07,question agriculture came minute ago,0
1,1996-10-16,instead federal government tax credit pick cost hire replacement worker cost,1
2,1984-10-21,give demonstration say,1
3,2012-10-03,used consult business excuse hospital health care provider,0
4,2016-10-09,united state united state senator,0
5,2000-10-17,dingle norwood bill,1
6,2004-09-30,say one focus war terror really understand nature war terror,1
7,2004-09-30,see beheading,0
8,1996-10-06,raise tax nobody run around asking people going get extra money,1
9,2012-10-22,tell time make sure look happening pakistan recognize happening pakistan going major impact success afghanistan,1
10,2004-10-08,talked find serious really holding saddam hussein accountable,0
11,2004-09-30,close border,1
12,2016-10-19,think going,1
13,2016-10-19,overturned go back state,1
14,2000-10-03,broke heart go flood scene del rio fellow family got completely uprooted,0
15,2000-10-11,well one trouble explaining,0
16,2012-10-16,making life miserable folk leave,1
17,2012-10-22,way make sure understand beginning tightest sanction possible,1
18,1988-09-25,governor wife active homeless,0
19,1988-09-25,know sam rayburn said two people agree everything one person thinking,0
20,2016-10-19,get shot walking store,0
21,1976-10-22,one major responsibility shoulder uh new york city finance welfare,0
22,1988-09-25,people country,0
23,1988-09-25,yet finest president strongest international leader governor franklin roosevelt woodrow wilson theodore roosevelt,0
24,2008-09-26,tom john mentioned wildly liberal,0
25,1988-10-13,teddy roosevelt used talk arena know daring fail greatly succeed matter,0
26,2016-09-26,first agree lot people even within party want give certain right people watch list fly list,0
27,1960-09-26,connection think uh must look future mind fact fight communism home law deal communist uh become communist become tra fellow traveler also fight communism home moving various injustice exist society communist feed upon,1
28,1976-10-22,background different,0
29,1996-10-16,even cardiologist quota,1
30,2004-10-08,republican chairman word,0
31,1996-10-06,stop admit,0
32,2016-09-26,much le,0
33,2016-10-09,absolutely apologize word,1
34,1984-10-21,go detail,1
35,1992-10-11,occur young person formative year,1
36,1992-10-19,lot decent honorable people felt draft,0
37,2000-10-17,know parent worried filter ask kid put,0
38,2016-10-19,waiting year,1
39,2000-10-17,want somebody willing fight asking support vote yes confidence willingness believe right thing america better,1
40,2016-09-26,war started,0
41,1976-10-22,state senate governor engineer naval officer farmer businessman,0
42,2012-10-03,reality wealthy people mentioned donald trump,0
43,1960-09-26,want talent american go waste,1
44,1992-10-19,want new program country,1
45,2004-09-30,iran iraq dangerous iran north korea dangerous,1
46,1996-10-06,favor started,1
47,2008-10-07,going help lower premium,1
48,2016-10-19,fact said last job report election,0
49,1996-10-06,know think idea better future,1
50,1960-10-07,giving aid school technically trying carry decision great question,1
51,2000-10-03,think ought support decision,1
52,2000-10-03,fundamental difference opinion,1
53,1960-10-21,believe sixty one two three rendezvous destiny,1
54,1996-10-06,mean want stop coming across border,1
55,2008-10-15,senator obama president bush,0
56,2008-10-07,senator mccain mentioned looking record,0
57,1996-10-06,think ought lifting moving child forward,1
58,2004-10-13,west texas painting painting mountain scene,0
59,1992-10-15,need year economic theory work,1
60,2004-10-08,going get ally back table,1
61,1976-10-06,graduate u,0
62,1992-10-19,see margaret tutwiler sitting today,0
63,2008-09-26,senator obama refuse acknowledge winning iraq,1
64,2016-09-26,think look strongly fly list watch list,1
65,1996-10-06,well saying senator dole said fine speech san diego wanted build bridge past,0
66,1980-09-21,believe much additional money take pocket people,1
67,2000-10-03,chance vice president eight year nothing done,0
68,1992-10-19,look around see first class strong woman,0
69,2012-10-22,done last four year,0
70,1980-10-28,first like thank league woman voter making debate possible,1
71,1988-09-25,continuing evolve evolving favor life,1
72,2004-09-30,called coerced bribed,0
73,1996-10-06,feel strongly lot thing,1
74,1960-10-21,communist dictator inherited previous administration,0
75,2004-10-13,opponent senator talk foreign policy,0
76,2012-10-22,came home wanted become nurse start scratch,0
77,1992-10-15,question maybe get wrong,1
78,2000-10-03,remember going del rio texas,0
79,2016-09-26,go list defend japan defend germany defend south korea defend saudi arabia defend country,0
80,1988-09-25,asked received briefing,0
81,2008-10-07,let let talk fundamental difference,1
82,1996-10-06,well first jim let thank thank senator dole thank lady gentleman listening tonight chance given u appear,1
83,2016-09-26,land laguardia land kennedy land lax land newark come dubai qatar see incredible come china see incredible airport land become third world country,0
84,2008-09-26,energy bill united state senate,0
85,2012-10-22,know killed bin laden ground zero memorial talked young woman four year old happened,0
86,1992-10-15,put term limit reform government get benefit thought,1
87,1988-10-13,great success state,0
88,2000-10-03,agree couple thing education,0
89,1992-10-19,governor clinton keep hitting vetoing legislation,0
90,1992-10-15,washington post ran long editorial today saying believe mr bush making character issue said greatest quote political chameleon changing position time,0
91,2004-09-30,left planning state department state department desk,0
92,1996-10-16,see scandal almost daily basis,1
93,2004-10-13,record fighting fiscal responsibility,0
94,2004-09-30,part leadership sending right message place like north korea,1
95,2008-10-07,important understand think american people hungry kind leadership going tackle problem government outside government,1
96,2016-10-09,said awake,0
97,1960-10-13,would hope different monetary policy would possible reduce interest rate burden least billion dollar,1
98,1992-10-11,united state america,0
99,1992-10-15,much care,1
100,1984-10-07,remember distinctly segueing another subject,1
101,1976-10-22,tremendous surge patriotism want make sacrifice country,1
102,2000-10-03,said poor senior,0
103,2012-10-16,going make sure,1
104,2016-10-19,really glad premium started least people see happening want keep obamacare want make even worse get worse,0
105,2016-09-26,mind releasing routine audit,0
106,1976-09-23,seen uh federal energy agency established instance,0
107,1992-10-11,want help somebody run cost making doctor test one would fear sued somebody along highway stop pick guy help afraid trial lawyer come along sue,1
108,2008-10-07,president united state alan would order secretary treasury immediately buy bad home loan mortgage america renegotiate new value home diminished value home let people able make able make payment stay home,1
109,2000-10-17,providing health care people,0
110,1992-10-15,policeman world longer,1
111,1988-10-13,year ago young man graduated law school came city came clear across country watch john kennedy nominated presidency united state right los angeles,0
112,2004-10-13,fellow american heard bob schieffer moment ago america tested division,0
113,2016-10-09,said irredeemable irredeemable mention said irredeemable might even worse,1
114,1996-10-16,better idea,1
115,1984-10-21,number thing weakened bill,1
116,1992-10-19,think answer slow economy drive unemployment undermine health private sector,1
117,1992-10-15,wanted said year,0
118,1996-10-06,talk smaller government,0
119,2016-10-19,well aware really legitimate concern expressed president general,0
120,2008-09-26,senator obama said would provocative,0
121,2000-10-11,let say mr vice president happy law book,0
122,1980-10-28,one major war explosion warhead,1
123,1984-10-07,think u called upon stand make decision thing might come self defense tradition,1
124,1988-09-25,still couple minute left,0
125,2000-10-17,graduated college plenty fancy way get going part,0
126,1984-10-21,part requires employer determine citizenship employee hired,0
127,2000-10-03,want strong hand come united state world affair,1
128,1996-10-06,gave four five specific example congress said prove people could recover going eliminate frivolous lawsuit sign bill,0
129,1976-10-22,governor georgia four year,0
130,2004-10-13,said ok got deal,0
131,2008-10-15,bill ayers professor education chicago,0
132,1960-09-26,mine executive branch,0
133,1976-09-23,tax incentive low income group could build uh income level uh poverty level uh make welfare uh profitable work,1
134,2016-09-26,recent troubling russia,0
135,2004-10-13,account allow somebody buy low premium high deductible catastrophic plan couple tax free saving,0
